     # #  # ##   #   #       #       #   #   #   #         # ##    #   # #  #     ###     ##  ## #  
 # #     #     #   # # ## ##   ## ##   #   ##  #   ########     # #  #     #  ###  #  ###   #      #
 #  # # #  ###### #    # #  # # #   ## ####   # ## #      # ## ###  #  # ##  #   #   #   ##  # ###  
  # #  ## #    # #  ####   #    ###   #     # # #  # # ##   #   #  #  ##    ### # # #  ##   #  # # #
 #  # #   # ## #  ##    # # ## #    ##  ###  #  # ##  #  ### # ## #  #  #### #     #  # # ##  Z  #  
  #  #  ##   # ##    ## # #   #  ## #  #   ##  #    #  #     # #  # # # #      ###   #    #  # #  # 
# ## # ##  # #   # ##   # # #   #  #  #  #    #  ##Z##   # ##  # #  #     # ###    # # ### # #   ## 
#  # #   ##  ###   #  #   # ### # ## #  ######  #   # # ###   ##  #  # # # #   # ## #  #     ## #   
  ##  ##  # #   # # #  ####   #   #  # # #   # #  #   #  #  ##   # # # # # # #      # #  ## #    # #
 #   # ##   # #  ##   #    ##  ## # #  Z # # # # # # ###  #  # ### # # # #    #######  #  #  # #   #
 # ##    ###  # #   ##  ## #  # # # ##   # # #   # #  ## # # # #   #  ## # ## #       # #  #  #  ## 
 #    ##   ##  #  ##   # #   ##   #  ## #  # ## #   #      #    # ###Z#  # # #  ######   # ## # #   
  #Z##   #  ##  # #  ##   # #   ## #  # # ##   ## # ### ##  ###   ### # ## # # #     # #    # #  ## 
# #    # ##  ##   # ### #  # # #   ## # # #  #    #    ## ##   ##  #  # #    #  ## ###  ####   #    
### # #    #  # ###  #  # #  #   ##   # # # #Z#### # #     # # #  ## #  # # ## #   #   #   # # #### 
#   # # ## ###  #  #  ##    ### #   ### #  # #      # ####   # # #   ## ## # Z # # # # # #   ##   # 
  ## #    #    #  # #  # # ###  # ##    # #   ## ###      # #  # # ## #    # ##   #   #  # #  # #  #
 ##    # #  # ###    # # #  #  #  #  ## #   # ##   # Z# ####  # #  #    # #  # ##   #  #  # # #  #  
 #  ###  # # # #  ## # # ###  ###   ###  ## #   ## #  #   #  #   # # # #  # ##   #Z# #  #   ## # ## 
 # #   # # #    #   #  #     # # ### #  #  #### #    # ## # #  # #  ## # ##    # #   # # ##       # 
  #  #  #    ## # # # #  ## #      #   # #  #   # ###     #   #   #   #    ### # # #  #    ###### # 
 #  # # # ### # # # # # #  #  ## #   ##   # # ##    # # # Z### ## ###  ###   ##  # ## # ##      # # 
   ## #  #    #   ##  #  # # ## # ###   #   #  # #Z # ## #   #  #     #   # #   #   #    ###Z##  ## 
 ##   ##   ### ##  # #  #  #         #Z# # # #  # # #     ##  # #### #  #   # # # #  # ##   #  #    
 #  #   ##      ## # # ###  #### ## #    #   ##    #  ###   ##      #  # ## #  #   #  #   # ##  ### 
  #  Z#  #### ##   # #  ###    Z  ##  # #  #  ####Z##   # #    # ## Z #     # #  #  #   ###   #     
# ##   #    # #  ##   #  #  ##  #    ##   #  #   #   ##  # #### #Z ##  # ###  # #  # ###   # #  ####
     ## ## #  # #  # ## #  #  #Z ####  ###  #  #  ##  ##   #      #  # #   # #   ##      # # # ##   
#### #    #  #    #  #  # #  #  ##   #    #  #  #   #   ##  # #### # #  ## #  ##    #######  # #  # 
   # # #   # ###   #  ## #Z#  Z## #     #    # #  # # #    ##   #  # #  ## #### #   #  # #  #   # # 
# #  #  ####    ## # #  #   #    ## # ##  # #    #   #  ##   ## #Z#  # #   #   # ##   #  # #  #   # 
 ## #  #    # #       # # #  ###   #   # ###  # #  # # #  ### #     #  # ##  # #   ###  ##  #Z  # # 
    # #  ## z  # ####   # # #   ## # ##   #  #  # ###    #     #####  ##  # #  # #     #  # #  ## # 
 # ## ## #  ##  #    ## # #   ##   ##   ##  #  #  ### ## # # #Z     #   #   # # ## # ## # # ## z #  
#  #   # z #  ##  ## #  # # ## # ##   ##   # #  #  #    ## #   ## ##z# #  ##  #    ##        # # # #
  #  ##  # ##    ###  # #  #   #  # ##z## #    #  #  # #   ###  #   #   # ## z # ##   #z## #  #  #  
# # #   #Z    ### #  #  z#   # # ##   ##  # # #  #  # ## ##  ## # # # #  #   #   ## ##    # #   #  #
  ##  ##  ####  Z # # Z# ####  # # ##   #  ##  ##  #     # #  #   #   ###  ##  #   ##  ##   ###  #  
 #   # ##    # # Z# # ##     # #   ####  # # #   #   # ##   #  #### ##    # # # ##    #  # #   #  # 
  ## #   # #     ##  ##  ## #  ###  #   #  #  ## # ### z ##   #    #   # #  # #  #####  ##   #  ##  
#  #  # ##  ####   #   #  ##  #   #   ## #  #  #  #   ##   # ### #  ## #### #  #     # ## # # #    #
 #  # #    #    # # ##  #  # #  #  ###   ##  #  # # #  ###    ##  #  #   #  # # # ##       #   ## # 
  #   # # #  ##   #  # # # #   #  #    #   #  # # #  #    ## #   ###  ##  # # # #   ### # #  #   #  
 # #### #  #   ###  #  #    #####   # ####   #  #   # ###   #  ## #  #   #  z #   ##     #  # ##  # 
      Z# #  # #    z  #  ## #  # ###   #  # #  # ###     # ## ##    ## ## #   ## #z  # ##  #    # # 
 ## ##     #   # #  #  ###    #     ## ##  ###      ## # #    #  ###   #   ##  # # ##  #Z ## ##   # 
 ##  ### ## ##  # #  #    ####  ###  #   #  #  # #z #  #  ####  #  # ##  #   #   # # ##  ##  # ###  
   #    #    ##     # # # #    #  ## # # ##   ##  #  ##  #   # #  #  #  # # # # #  #    ##  #     # 
 #  ## #  ##    # #    #  # ### Z#   # #   # #  #  #  # #  # #  #   ### # #    #  ## z #   #  ###   
 ####  ####  # # # ### # #  #  #   ##   ## # ##  #  #   # #   #  # # #     # # # #   # # ##  #    # 
#     #    #  #       #  ##  #   ##   # #  #    #  # # ## # #  # # # # # ###  #  # ##  #   # # ##  #
  ## ## ##  ##  #####  #  # #  ## ####  # # # ## #   ##   # # #    #    #    #  #   # # ## # # # #  
 # ##    ##  # #   Z #  # # # #       # # #  #     ##   ##   Z  # # # ##  #### # ## # # #  # # #  # 
 #    ##  ##    # ## Z ## # # ##### #  z  ##   #### # ##  # #  # #     z ##       ##  #   # #  ##   
   # ####   # #   #  #      #        #   #   #           #    #    # # #    Z # #    #  #     #   # 


        # Z  #  #    #      #   ##    #   #   #   # ##   #     #       ##      #     #     ##    # #
 ## # #  # #  #  # # # # ##   ##   # #  #  ##Z  # #    # # # # # ### ##   ## Z # # Z  # ##    # #   
##  #  # # ##  #   ##  #   ###   ##    # #    ##   ##### # #  #  # #  # ## # ### #  #  ##  # # #  # 
   ### # #  # #  #    # ##   # ## # # #   ## #  ## #     # ## # ##  #   #  #     # ###   # # #   #  
 #  # #  ## #  # # ###    ## # #  #  #  #   ###  # # # # #  # #    #####  # ### #   # ## # #  # #  #
  ##   #  #  # #  #  ## # #  #   # #  #  ##  ### # #  # ### #  # #  #  Z #     #  # #  # #  #    #  
#    #  # # #  ##  #    # # #  #   ## # # ##  #  #  #    ##  #  #  #  ##  # Z#  ##  # ##  #  ### ## 
# ### z #   # #   #  ## # #  #  ##  # # #   #   ## #  ##   # # #  #  ## #   # #  # ##    ## #   #   
  # # Z  ###   ##  ##    #  ###  # ## #  ##  # ##  #### # ## #  #  # #   ###   # #   # ##   # # # # 
 #     #   # # #  #   # #  # z Z  # z ## #  #  #  #     #     #  #   # #     ##  ### #  ## #  #   # 
  ## #  ##  #   #   #  #  #    # #  ## # # ###  #   ###  ###### # # #  ##### #  #  # ##   #  # ###  
#  # # #  # ###  ###  #  #  ## # # #   #    ###  ###  ##           # #     z  #   ##   ##   #    ## 
 #   # # ##   ##   # #  #####  # # # # ####  #  #z  #   # #Z# #### # # ### ##  ## # ##   ## ## #   #
  ###    # ##   ##  #  # #    #  # #  #    # # #  # # #  #   #   # # # # #   ##   #   ##  ##    ##  
#     ##     ## z  ## #    ## z #  ##   ## # # # ##    #   ### #   # #    ##  Z ## # #  #    ###### 
#z# ### # # #   # #   # ##  # #  #   # #   # #  ##  z# # # #   ####   ### # # # #      #  ###   ##  
   #    #  #  # # # # # # #  #  Z ## #  # ##  #    ### #  #  #Z     # #   # #   # ####  ##    #    #
 ##  ##  # # # #  # # #   ##  #   #   ##    #  ## #z#   #  # # # ###   # #   # # #    #  # #### ## #
#   #  #  #  #   ## #  ##   # # #  ##   # #   #  #   # #  ## #   #  # #   # # #    # ### #     #    
# ## #  #   #  ##   # #  ## # #  #   ## # ###   z# # # # #   ###  #    ## #    ## ##  #   ## #  ####
  #    # ###  ## # ##   #   #  #  ###    #   ## #  Z  #    #   ## # ##  #  # #    # #  # #  #  #Z   
 #  ## #   # #Z    #  ##  # # #  #   # # # #   #  # #  ## ## #    #   #  #   #####   # #   ## #  ## 
 # #   # # #  # # #  #   # ##   #  # ### # ###   # Z #   #   ## # z# #### ###      # #  # #   # # # 
 #  # # #  ## # ### #  ##    # # # #     #   # ## # # ## # #   # ##   #      # ## #Z  # # # ##    # 
  # # #   #   #    # #  # ## ##     ### # ##  ###   #    # ## #    # #  ## # # # #  #z    #    # #  
 Z  #  # ## # # ## # # #   #   # # #  # #   #  #  # # # z   ##  ## # # ZZ# # # #   ###### Z## # ## #
Z  # # z #   #   #      # # ##  ##  # #   # ##z ##  #  ## #  # ##  # # # #  #  ###  #   ##   ##    #
 ##  # #  # #  #  #### #  #  # #   #   # ##   # #  # #   #  #  #  # #  #  #   #    #  #    #   # #  
   #   ##    ### #    #  #  #    ##  #  #   # #Z #   ###  ##  #  #    # # z##### #z# # ## # ##   z# 
 # # ## # ##    #  ##   ###   # #   #  ## ## # #  #z   # #   #  #  # ##   #   #  ##  #   #     ### #
 # #  #     ###   #   # z# ##  # ##  ##   #    ## #  # #   ## #   # ##  #   # # #   #  # # Z ##     
#  ##  ### #    #  Z #  #    ##   ## #  ## ###  #  # #  ###    ###     ## ##    # ## ### #  #   # # 
  #  #    z  ### #  #  ## ##  # #  #   #      #  # # ## #  # # z   ####   #  # z  Z       # # ## #  
 #  Z # #  ###   ##  ##   # #    # # # # ## # ## # ##    #   ##  ##     ##  ###  # # # ##z  #  # # #
  #    # # #   #  ##  # ##   # # #  #   #   #    #  # ##  ##    #   ### #  # #  #    ##   #  # # #  
# # ## Z #   #  #   ###  # #  #   #  # #  #  z ##  #  ### #  ###  # z # Z#   # # ###    # # #    ## 
# z #  ## # #  # ##     #   # ###  # #   ###  #   ## # ##  ##    # #   #  # #Z #    z ###   # ##  # 
 ###  #    #  #    # ###  # #    # #  ##  # # # ##   #   #    # #    #  #  #  #  ## z#   ## #  # #  
 #   #  ##  #  # # ##    # # ## #  # #  #    #  ### # # # #### #  ##  #  #  #  #  #    #   # #  ## #
   ### #  # ##   Z  # ###     #  ##  Z #  # ## # #  #        #   #  # # ## # #  #  #### ##     #    
###    # #   # ## # #   ### # z# #  #  # # #   #   # # z### #  ### # Z##      # ## #    # # # #  ## 
    ###   ##  #      ##   # # #  # # # Z   # ##  ##    #    # #     #    ##Z ##  # # # #   # #  #   
 # z   ##   #  ### #  z##   ### #  # # ## ## #  #  ### # ####   # # #####      ZZ# # ##  #    #  # #
  #  #  # # # #   #  # #  ##    ## #    #z   ##  #   #  ##    ##   #     # ####  # #    # ###  #  # 
# ##  # ##  #   #  # ### #   ###   # ##  # ##   #  # # #   ###   ##  ###  #     #  # ###      # #   
   # ##    # #####  #    # ##    ##   # ## #  ##  ## #   ##   #Z#   ##   #  # #  # ##   # ### #  # #
 # # #  # #     #  ## ## #  # ###   #  #     ##  #   # ## # #  #  # #  ####  # # #    #   # # # #   
 # #  #  #  # #  #    # #  #  #   Z# ##  ####   #  ### #  # #z#  #Z#  #  # # # ## #### #### # #  # #
#  ## ###  ##  # # # #  # #  #  # #     #     # # z      ## # ##    #  #   #      #  #      # ## z  
  # #     #  # #  # #  #  # #  ## # ### # #### #   # ####   #  ###Z  # z# #  # ##   #  # ###     # #
 #    ###   #  ##     #  #  # #   # #  ## #      #  ##    ## #     # # ##   # ##  #  # #     ### # #
 ## ##   ## z #  # # #  # #  #####  # #z  # z## # #    ###    # # #  #   # #     #  ## ## ###   ##  
   #   # ####  # ##  # #   #  #    #  # ##     #   # ##   # #  #  # # ##  ### ##  ##     #    #   # 
## # ##   #   #     #  # #  #   # #  #  ## ### # #  #   #  #  ## #  #   # ###   ##   # ##  ## ###   
 # #  # #   ##  ##### #   #  # #    ###   #   ## ##   ### #  #   ##  # ##  #  #    ## #   #  #   Z# 
 # ##  #####  # #     ## # #  # ###  # ##   # #    # ##   # # # #  # # #  #  #  ####  # #   ## # #  
 #   #  #    #  # ## #   #  #      # #  #####  # #  ##  ##  # #  #   #  Z  #  ##     #   # #   #  # 
  ##  #   ## # #    #  ##  # ## # #    #     #    z#   #  Z    # # ## #  #  #    ###  ## # # ## #  #
#   # # ##   #  # ##  # # #    #  #####  ###  # Z#   ##  #  # #  #  #  #   #### #    #    #  #   # #
 # #  #  Z#z  # #    #      z#  #     # #   #  # # ## # # Z#  ##  #  #   ## #  #  ###  # #  ## # #  
    #  # #   #   ## # ## ###z ## #### #   # # #    #    ##  #   #  #z# ## #  #   #    #  Z ##  #  # 
 ##  #  ## ## # #  #   #    #       # # ### #   # #  ##   #  # #  #  #  #  #   ## # # # #  #  #  #  
 #  Z # #  #  #  # # #  # #   ## ## #  #    ###### #   ## z# #   # #  #  #  # ##  # #  ##z  ### #  #
 # #    # #  # # #    #   ####   #   # # ###   z#   ## # #    # #   #  #  #      #  ##  #  #    # # 
#  # ##Z#  #   # ## #  ###     ##  # # #   # ## # ##z  #  #### #  #  #  #  ### #  #  ## # #  ## # # 
  ## #    #  # #   ## #    # ##   # #  # #   #  # #   ###       ## # # ###   # ### #   #  z #   #   
 # Z # z## ##   ## #   # ##z  # ##    ##  # # # #   ## #  ### #        #Z ##  #    # #  z Z # #  ## 
   ##  # #    #  # z## #  # #  #   ###  #  #  # # ##   # ## #  Z### # #    # #  # #  ##  ##z#  ##   
 #  # #   # ## ## # #   #  # #  # #    # #  # # Z  # #      ##    #  # # # #   #  # #  # #   #  # # 
# #   # # #       # # # ## #  # #  ## #    #  # ## #  #####   ### # #    ## #z#  #    #   ##   #  # 
   ###  # # ## # #  ##   #   ## #Z  # # ### # #  #  ##    # #   #  #  ###      # # #### #    ##  #  
 # #   #  #   #   #   # # ## #   z# # # #   #  # ##    ## #  # #  #  #    # ## #  #    Z  ### # ## #
  #  # # #  # # #  ## #    #  ##  # # #   #  # #   #### #  ####  #  #  z##  # z #   ##  # #   #   # 
# # #  #  #  #  # # #  # # Z# # # # # z###  #  ##z#      #   #  #  #  #   # # #  ## #  #  # #  z#   
  # ##  #  ##  ## #  # # #z   z   #  #    # # #   # # ## ###  # # #Z #  #  #   #   #  ## ### #   # #
 ##  ## ## #  #     #  #  # ##  # # # # #     # ##   # Z    # # #z # # # # # ## Z ## #    #   # #   
   #  #  #   #  ## #  # # # #  # ##   #  ### #  ## # #  # # # #  #   # # # #     #   # ###  #z  # # 
 Z#  Z #  # #  #  #  #  # #  # #   ###  #   #  #   # # ##  #  # # # #    #  ## ##  ##  #   ## #  ## 
 ## #   #  # ##  #  ### # ## ##  #    #  # #  #  # # #   # # #z    # # #  # #   # # # #  ##   # #   
    # #  # #    #  # ##    #    #  ##  #    #  ##  # ###   # # # #    #  #  # #   #    #  ####  # # 
 ## #  Z   # ## # ##    ##  # ## # ## #  # # # #  # Z   ####  #   # #   #  ##  Z## # #  #     # #  #
 # #  #  z # #  # #  # #  #  ##  #   #  # #    # #  ## #    #  ###  # ### #   #  #    ##  # #  ### #
   # # ####   # z  #  z# # #    # Z# # #  # # #   ## #   ##  #    #  #    # ####  # #   ##   #  ##  
## #     ## ##   z  ##     ####   ##    # #  ## #    ## ## # ####  ### # #  # ###  # ##   ##  #   # 
 #  # ##    #  ## #  # # #     ##   # #    #   # ###   #   #    # #    ##  #   ###     ## #  # # #  
  #  #  # # # ##   # # ##  ###   ##### # #  ## #    ##   # ## # #   ###   #  #  # # ##     #   # # #
 # #   # #  # #  # # #   ##  ## #   #   # # ##  # #  #####  #  # ###    ## #  #    ### ####  # # #  
   ## #   ###   ###  ### #  #   # # # # # #   #  ###       ## #      ### #   ## ##  #      ##  #  # 
# #   # #     #  #  #    # ## ##  #   # # # #  #  #  # # ##   # # ###      ##   ### # ####   # # #  
  # ##z  #####  #  #  ###  #   # # ###  #  ## # #  ## # ##  # # # #   #####   ## #  ##     # #Z   # 
 ## #  # #   # ## #  ##  #   ##  #    #  #       # #  Z   # # #  #  ##     # ##   #   # z##     ##  
    # #  ## ## #  ##   #   ###  #  # ### # # # ### # ####   #  #  #  # # #   #  #  ##  #   # ###   #
 ###  # #   #  # #  Z#  # #    ### #  #  #  ###    # #  ####  # # ###   # # #  # # #  #  #  #    #  
 #  # # # # # ## # ##  #    ##  z   #   # #  #  ###  ##    # #  #   # ##Z  #  ## #  #  #  #   ##  # 
 ##   #  #  # #   #   #  ###   #  Z# ###    #  #   #   # ###   # ## #  # #Z #     #  # ##  ##  # Z  
   ##  #  #    ## # #  ### Z# #  #     # ###  #  #  # ##    # #   #  #   # # ### # # #   #   #  #  #
## # #  #  Z##  # #  #    #  #  #  ## #  #   #  #  #    # #     #  # ## #  #     # #  ##  ##  #  #  
 #   # # #    # #  Z# # #  # # #  # #  # # ## #  ##  ##  #  Zz#  ###   #  # # ###   #    #   # #  # 
  ## #   #### ### #  z # # # # ## # ## ##  #   #   # # #  ##   ##   ##   #  # # # # Z####  #    #  #
#      #    #       ##     #      Z       #  #   #      #    #    #    #  # z     #       ### #  #  


   #      z           # #   #   #   #     ##   #   #     #      #    #   #  #   # #  # #       #    
 #  ### # # ## # ### #    #   # # #   # ##   z # #  # ##   ## #  # #   # Z#  z#    z     ##### ## # 
 # #    # # # ##    #  ### ###     # #   # ##  # ## # # ### #  #   ####  ### #####   #####   #    # 
 #   # #  # #   ###   ##      # ###  ####  # # #  # # #     ##  ###    #  #  #Z   ###      # ### ## 
 # #  # ##   # #   # #   ####  #    #    #   #  # #   # # #   # #   ##  #  #   ##    # ## #     #   
  #  #    ## #   ## #  ##    #   # #  ##  ## # ##  # #  # # # # ####   z #  ## #  ##   #  #####  # #
#  # # ##  # # ##    # #  ##  # #  # ## #  # #    # #  ##  #  #    # ##   # z  # #  ## # #    # ##  
 #  #  Z## # #  # ## #  #  ## #  # #    # ##  ####   ###  #  #  ## #    # # # ##  # Z  ##  ##  #   #
 # ## z #  #Z # # #   #  #  # # #   # # # # # #    #     #### ##   # # #  # # # # #  #    ## # # ## 
   #  # # ### # #  ##   # # Z  z  ##  ##    # # #### # #  #     ## ##  # #  # # # ##  #####    Z    
# #  #Z #  #  # ##   ##   # # #  #Z  # # ## # # #   #  # #  ###  Z  # # #  #  #    Z #      ##  ### 
  # #   # ## #   ###   ###  #  # #  #  #Z # #  Z# #   #  # #   # ## #   # # #  ###   # # ### ## #   
Z   ## #     # #   # ##   # ##  #  #  # # ##  #   ## ## ## z # #  #  ##   #  #    ## #  #        # #
  ##   # ####   ## #    # #   #  #  #   #    #  ##  #   # # #   #  #   # #  #  ## #   #  #### ## # #
 #   #  #     ## #  ####   ##  # ## # #  ####  # # #  # #  #  # # #  # #   #  z Z  # # # #   ### #  
 # #  ### ## ##    #    ## #  ##  # #  # #   # #     #  ## # # #   # # # ##  #   #  #    # # ##  # #
 #  ##      #   ##  # #  #   #  z   # ## # #    #####  # # #  z ##  #  #   ### #   ## ## # #   # #  
  #    ####  # ## #  # #  ## # # ###    #  ## #      #      # #   #   # ## #   # ###  #  #  ##  ### 
# #Z ##   ## # #   # #  #   #      ## #  #   # ## ##  ##### ## ##  # #  #    ## #    # #  #   #  #  
ZZ  ##  #  # # # ##  ##   # # # ##   # #  ## #   #   #         #  ## ##  ####     ###  # #  #  #  # 
 ##    # # ##  #   #   # ##   ##  ##    #      ##  z#  #### # #  ##    #     # # #   # #  ## #  z # 
   ## #  #    z ## # ##  # # #   ## # #  ##Z##  # #   ##   # #  ##  #### # # # # ## #   #    # # Z# 
 # # #  # ####     #    #   #  #     # #      # #  z #   #    #   # #   #  ##  #  #   #  # # # # #  
 #     ## #   ## #  ####  # ##  ####   #### #  ###  #  ## # #  ##  ## # #Z#   # #  z# ##  #  # #   #
#  # #    # #  #  #      #     #    ##     # #  ###   ##   #  #  #    # #   ##   #   #   #  #  #### 
 z#   ## #  ##   #### # # # #### ##   #### #  #  # ## #  #   ###  # ## zz ##  Z# ### # ## z## #     
z# ##  # # #  ##  #  ###   #      # # #      # #     #  # ##  #  # #   #  #  # #   # #    #   # #Z# 
     #  #  ##  ##  #  #  #   # ###  #  # # # #  #### ##     #   #    #### ##  # ## # # #### ##  #   
 # #  # Z#   #   #  # # # ### #  # # #  ###  # z   #   #### # ### ###  #    #   #  #  #     #  ## # 
  # #   # ## # #  # #   #       #     #  #  #   ## # # #    ##    #  #   ##  ##  #  # # # ##  #   # 
# Z # #   #  # # ## # #   ## ## #### ## #  #  #  #  #Z   ###   # # #   ##   #   #  ## # ## z ## ##  
  # #  # ## # #  # z## ### #  ##     #  # #  # #  #  ### #   #  #   # ##  ## ###  #   Z   # ##  #  #
 #  # # #   #   #  #        ##   ### # #  # #   #  #   #Z# ## ##  # # #  #       #z# # ##  ##  # #  
  # z#    ##  # # #  ## ##Z  # ##   #  # #  # #  # ## ## # #     ##  #  #  ## ##  ##    ## #  ##  # 
 #  #  ###   #  #  #   #   # #   ##   ##   #   #Z     #  #   # ##   #  ### #  ###  Z###    # #   #  
 # # # z # # #Z#  # # #  # #  ##   # #  ##  # # #### #  Z #####   ## #  z  # # # # #   ##### # #  # 
 #   #      #    #  # # #   # ## #  ###    #        #  #     #  ##   ## ###  z     # # #     # ## # 
#  #  #### #  ##  # # #  ## #   # #  #  # #  ###### # #  # #   #   #  #     #  ####  #   # ###   #  
  # #    # # ### #    ## ## ###    #  #  #  #      #   ##  # # # #  #  #####  #     # ###  #   Z # #
 ##  ####  #  #  z ###     #   # #  #z ##  ## ## #  # #   # # #  ##  # #   # Z ######     ## ### # #
 #  #     ###  ##  # Z # #   #  #  ###    #   # # #   # ##    # # # #z   # #          #####  #   #  
   #  #### # #    #    #  ###Z #  # ## z ### #     ###  #  ##   # #   ### #z #### # ##     ##  #  # 
 #  # #  #    ## #  ### # #     #     ##  #  #####   # ## #   ##   ##       #  zz###   # #   #  # # 
  #   # ## ##   #  #   Z #  ### # ###   ##  #    # # #   ### ##  # # ###### # #   #  ##  ###   # #  
 ### ##    # ## Z #  ### # #  #  #   ## #  #  ##   #  ##  #  #  #    #     ##  ##  #  # #   ## # # #
  # #   ###  # # ## #    # ##  #   ## #  # # #   ## ##  # ##   z####  # ##   # # #  ##  ###      # #
# #   ###  #    #   # ####   # # # #   # # #  # #      #    ##  #   #     ## # #  # #  #   #### ##  
#  # ##   # # # # ### #   ## #    z  ##  # ##  ## ## #  ###   #Z# z  #####   #   ##  #   #    #   # 
  #     #     #  ##   # # #   # ##  #   ##   #     #  #   ###      # #    # # # #   #  ## ###  Z# # 
#  ####  ### # #    ### # # # # #  #  #   # #  # #  # ###   # # ##zZ   ## ##  #  # ###  #    # #  # 
 #    # #   #  # ## #   # ##  #   # # ####  # ##Z # #    ##  # # #  # ###    ### #  # #  # # # # #  
 ####  #  # ##  #   # # #  # #####  #      ##  #   ## ## #  #     ###  # ###  #   # # # #  # #  #  #
     #  # #  ##   ##  ## # #  #    #Z## ###  # # #   #   # #  # #  Z # # #  #  ## # # # # # # #   # 
# ##   #  ##  ###  # #   # ##   # #    #  ##   #  #Z  ##  #  # # ### #     # #    # #   # #    ###  
  # ### #   #    ##  # ###   ####  # #  #    ##  # ##    ## ##     #  ####Z#  ##### # ##    ##   z# 
 ##     # # # ## #  ##    ##     #   ##  # #  # ##    # #  Z#  ## # #    # # #      # #  ###  # Z   
 #  ## #  #  # #   #   ## # ###Z  # # ##  #  #  #  ##  #  ## # #    ####z#   ## ####  # #  # #  ## #
   #   # ### #  # #  ####       #   #  ##  ##  # ###  #  #z   ## Z #      # #   #    #   #   # #    
###  ##   #  # ###  #  #  # #### ### #   # #  # z   # # #  ##    # # #### # # ### # ## #  # #  ## # 
   # ## #z# #   #  #  #  # #          ## # # # ## # ### # z  # ##  # #   #  #    #    # # #  #   #  
Z# #   #    # ##  # #  #     ########    # # #    #     #   #  #  #  # # # ##### ####   #zZ # Z# # #
  # ## # ###   # ## # # # ###        ## #    # ### ### # ## # #  #  ## # #  #  #    # # # ## ###  # 
 #  z  # #   #          ##    # ### ### # # ## # #    ##  # # ###  #   #  #   # ###  #   #      #   
   ## #   ###  # # ####   # ###   #  #  #  #   #   ##    #  #    #  ##  #  ##      # # #  Z## #   # 
 ##   #z#    ###  #   # #  #   ##  ##  #  Z  ## ##  ## # # #  ##  #    # #  # # #Z#   ## #  ## # # #
    ##  # ##    # # #  # #   #    #   # #  # Z    #   #  #  # # #  # ##  Z #   #   ##   ##Z#   ##   
 ##z## # #  # #  #   #    # # ### # ##    #  # # #  #  # ##  #    #   # z##  ##  #  # #   z  #    # 
 #  #      #   #  # #Z ##  #     ##  # ### #   # # # #  #   #  z#  ## #    # #  # #  ## #   #  # ## 
 # #  ###### ### #  # #  ##  ## #   #  # #  ### z##  # #  ### # ##  ## # # #  #    # #  # ## #  #   
    # #     ##   # ##  #    #   # #  #    #    #   #   # #    #   #     ##  #  # ##  ###  #   ##  # 
###  #  # # #  ##  # #   ###  # #z##  Z #  ###  #Z  # ## # ### # # # # #   # # #  # #   ##  #   # # 
   # ## ###   # # #   ###   ##  #   #  # #     ##  #  #  # # #       ##  ###    # # # #z # # ## # ##
 # #  #    ## # # # # #   #  # # # # #    # # ##  #  #  #  #   ## # # # ##   # #  # #  #   #    #   
  #  Z  ## #    #   # # ## z#    #   ######  #   # #   #  ## ##  #    #   # # ## #  # ##Z######  ## 
#   #  # #  ### ## #  # # #  ###  ##        #  ###   ##  ##   # #  z #  #  #     ## #  #   #   #    
# ##  #   #   #   #  ##    ##   #  # #######  #    ## #z#   ##  # # #  # #   ###z #  #   # # #  ### 
  # # Z##  ##  # #  ##  ## #  # # #        # # ### #    Z ## # # #   # #  ###   # ## # ### #  # #   
 z   z   #   #  #  #   # #   ## #  #### ## #      #  ###  #  #   # # #   #    # #  # # #   ## #  # #
 ## # ## # #  # # # ##    ###    # #   # #  ### # # ##   #  ### #  # ## #  #### # #   ## ##   ## #  
  #    # #  ##  #     ## #    # #  # # #   #   #  # #  ## #  #  # ##   #  ##    ### ##   #  ##   ## 
 #  ## z  #  # # ## # # ## ##  #  #  # # ##  #  #   z #   Z# # #    ##   ##  ##z    #Z # # ### ## # 
 # #    # # #  # #  # #    ####  # # #  #   # #  ###  # #  # #  # # # # #   #   # ##  # #   #  #  # 
 #  # # # # ##    ##   # #  #   # z  # #  ##   #     #   #    # ### #  ### # ##   # #   # # # #  ## 
  #  #  # #   ###    ##  ## # ##  ####  #  # #  ## #### #  ####     ##  #  #   # #    #    Z  ##    
#  #  ##  # # # # ###   # # #  # #    #  #   # ## #  #   ##    ### # ## # #Z Z #  # ## ### # #   ## 
 # ##   #  ##    #   # ##    # #   # # #  ####     #   # #  ##    #     # #  # ## #      ##  # #   #
 #   ##  #   # #   # #   # # #  Z ## #  #     ## #  ###  # ##  ## # ## #  Z ##    ## # ##   # #  #  
  ##   #  ##  # ## # # # #  #  # #   # # ## #   # #    #   #  # # #  #   #  # #### #  #   ##   ## ##
 #####  #   #      # # #  ##  #    #   #   ####   ####  # #  ## # # #  ##  #        # # ##   # #    
  ##  # ###   #Z###  #### #  #  # #####  #  #   ##     #  # #   # #  # #  #### ## # # #  # ## z# ## 
#    ##    # # #   #   #  # #  #   #    #  #  ## # # #z  #  ## #   #  #  # #   ##  ## # #    #   #  
  # Z  ###  #  # #  ##  # #   #  ##  ### Z   #   #  #  ##  # Z  # # #   #    ##   #   #   ## ## #  #
